District,,Member2016,Party16,Clinton16,Trump16,Dem16,State,Party18,Dem18,Flip18,Gerry
CA-27,,"Chu, Judy",(D),66,28.4,1,CA,(D),1,0,mid
CA-28,,"Schiff, Adam",(D),72.1,22.3,1,CA,(D),1,0,mid
CA-29,,"Cardenas, Tony",(D),77.7,16.8,1,CA,(D),1,0,mid
CA-30,,"Sherman, Brad",(D),69.1,25.7,1,CA,(D),1,0,mid
CA-31,,"Aguilar, Pete",(D),57.7,36.6,1,CA,(D),1,0,mid
CA-32,,"Napolitano, Grace",(D),66.6,27.7,1,CA,(D),1,0,mid
CA-33,,"Lieu, Ted",(D),67.8,26.5,1,CA,(D),1,0,mid
CA-34,,"Becerram, Xavier",(D),83.6,10.7,1,CA,(D),1,0,mid
CA-35,,"Torres, Norma",(D),67.7,26.9,1,CA,(D),1,0,mid
CA-36,,"Ruiz, Raul",(D),52.2,43.4,1,CA,(D),1,0,mid
CA-37,,"Bass, Karen",(D),85.7,9.6,1,CA,(D),1,0,mid
CA-38,,"Sanchez, Linda",(D),67,27.4,1,CA,(D),1,0,mid
CA-39,,"Royce, Ed",(R),51.5,42.9,0,CA,(R),0,0,mid
CA-40,,"Roybal-Allard, Lucille",(D),82.2,12.8,1,CA,(D),1,0,mid
CA-41,,"Takano, Mark",(D),61,33.1,1,CA,(D),1,0,mid
CA-42,,"Calvert, Ken",(R),41.4,53.4,0,CA,(R),0,0,mid
CA-43,,"Waters, Maxine",(D),78.4,16.7,1,CA,(D),1,0,mid
CA-44,,"Barragan, Nanette",(D),83,12.3,1,CA,(D),1,0,mid
CA-45,,"Walters, Mimi",(R),49.8,44.4,0,CA,(R),0,0,mid
CA-46,,"Correa, Lou",(D),66.3,27.9,1,CA,(D),1,0,mid
CA-47,,"Lowenthal, Alan",(D),62.6,31,1,CA,(D),1,0,mid
CA-48,,"Rohrabacher, Dana",(R),47.9,46.2,0,CA,(D),1,1,mid
CA-49,,"Issa, Darrell",(R),50.7,43.2,0,CA,(D),1,1,mid
CA-50,,"Hunter, Duncan",(R),39.6,54.6,0,CA,(R),0,0,mid
CA-51,,"Vargas, Juan",(D),71.8,22.8,1,CA,(D),1,0,mid
CA-52,,"Peters, Scott",(D),58.1,35.6,1,CA,(D),1,0,mid
CA-53,,"Davis, Susan",(D),64.5,29.6,1,CA,(D),1,0,mid
CO-01,,"DeGette, Diana",(D),69,23.2,1,CO,(D),1,0,mid
CO-02,,"Polis, Jared",(D),56.2,34.9,1,CO,(D),1,0,mid
CO-03,,"Tipton, Scott",(R),40,52,0,CO,(R),0,0,mid
CO-04,,"Buck, Ken",(R),34.3,57.4,0,CO,(R),0,0,mid
CO-05,,"Lamborn, Doug",(R),33.2,57.2,0,CO,(R),0,0,mid
CO-06,,"Coffman, Mike",(R),50.2,41.3,0,CO,(D),1,1,mid
CO-07,,"Perlmutter, Ed",(D),51.4,39.4,1,CO,(D),1,0,mid
CT-01,,"Larson, John",(D),59.4,36.3,1,CT,(D),1,0,mid
CT-02,,"Courtney, Joe",(D),48.7,45.8,1,CT,(D),1,0,mid
CT-03,,"DeLauro, Rosa",(D),55.9,40.4,1,CT,(D),1,0,mid
CT-04,,"Himes, Jim",(D),59.6,36.6,1,CT,(D),1,0,mid
CT-05,,"Esty, Elizabeth",(D),49.9,45.8,1,CT,(D),1,0,mid
DE-AL,,"Blunt Rochester, Lisa",(D),53.4,41.9,1,DE,(D),1,0,mid
FL-01,,"Gaetz, Matt",(R),28.2,67.5,0,FL,(R),0,0,mid
FL-02,,"Dunn, Neal",(R),30.6,66.2,0,FL,(R),0,0,mid
FL-03,,"Yoho, Ted",(R),40.2,56.2,0,FL,(R),0,0,mid
FL-04,,"Rutherford, John",(R),34.1,62.1,0,FL,(R),0,0,mid
FL-05,,"Lawson, Al",(D),61.3,35.9,1,FL,(D),1,0,mid
FL-06,,"DeSantis, Ron",(R),39.9,56.9,0,FL,(R),0,0,mid
FL-07,,"Murphy, Stephanie",(D),51.4,44.1,1,FL,(D),1,0,mid
FL-08,,"Posey, Bill",(R),37.7,58.4,0,FL,(R),0,0,mid
FL-09,,"Soto, Darren",(D),54.8,41.9,1,FL,(D),1,0,mid
FL-10,,"Demings, Val",(D),61.8,34.9,1,FL,(D),1,0,mid
FL-11,,"Webster, Dan",(R),32.5,64.8,0,FL,(R),0,0,mid
FL-12,,"Bilirakis, Gus",(R),38.8,57.4,0,FL,(R),0,0,mid
FL-13,,"Crist, Charlie",(D),49.6,46.4,1,FL,(D),1,0,mid
FL-14,,"Castor, Kathy",(D),57.2,39,1,FL,(D),1,0,mid
FL-15,,"Ross, Dennis",(R),43.1,53.1,0,FL,(R),0,0,mid
FL-16,,"Buchanan, Vern",(R),43,53.7,0,FL,(R),0,0,mid
FL-17,,"Rooney, Tom",(R),35,62.2,0,FL,(R),0,0,mid
FL-18,,"Mast, Brian",(R),44.1,53.3,0,FL,(R),0,0,mid
FL-19,,"Rooney, Francis",(R),37.5,59.6,0,FL,(R),0,0,mid
FL-20,,"Hastings, Alcee",(D),80.2,18.1,1,FL,(D),1,0,mid
FL-21,,"Frankel, Lois",(D),58.6,39.1,1,FL,(D),1,0,mid
FL-22,,"Deutch, Ted",(D),56.8,41,1,FL,(D),1,0,mid
FL-23,,"Wasserman Schultz, Debbie",(D),61.9,35.8,1,FL,(D),1,0,mid
FL-24,,"Wilson, Frederica",(D),83,15.3,1,FL,(D),1,0,mid
FL-25,,"Diaz-Balart, Mario",(R),47.9,49.6,0,FL,(R),0,0,mid
FL-26,,"Curbelo, Carlos",(R),56.7,40.6,0,FL,(D),1,1,mid
FL-27,,"Ros-Lehtinen, Ileana",(R),58.6,38.9,0,FL,(D),1,1,mid
GA-01,,"Carter, Buddy",(R),40.9,56.4,0,GA,(R),0,0,mid
GA-02,,"Bishop, Sanford",(D),55,43.3,1,GA,(D),1,0,mid
GA-03,,"Ferguson, Drew",(R),32.8,64.3,0,GA,(R),0,0,mid
GA-04,,"Johnson, Hank",(D),75.3,22.2,1,GA,(D),1,0,mid
GA-05,,"Lewis, John",(D),85,11.9,1,GA,(D),1,0,mid
GA-06,,"Price, Tom",(R),46.8,48.3,0,GA,(D),1,1,mid
GA-07,,"Woodall, Rob",(R),44.8,51.1,0,GA,(R),0,0,mid
GA-08,,"Scott, Austin",(R),34.4,63.3,0,GA,(R),0,0,mid
GA-09,,"Collins, Doug",(R),19.3,77.8,0,GA,(R),0,0,mid
GA-10,,"Hice, Jodi",(R),35.8,61.3,0,GA,(R),0,0,mid
GA-11,,"Loudermilk, Barry",(R),35.3,60.3,0,GA,(R),0,0,mid
GA-12,,"Allen, Rick",(R),40.7,56.9,0,GA,(R),0,0,mid
GA-13,,"Scott, David",(D),71,26.6,1,GA,(D),1,0,mid
GA-14,,"Graves, Tom",(R),22.1,75,0,GA,(R),0,0,mid
HI-01,,"Hanabusa, Colleen",(D),63.1,30.5,1,HI,(D),1,0,high
HI-02,,"Gabbard, Tulsi",(D),61.4,29.6,1,HI,(D),1,0,high
IA-01,,"Blum, Rod",(R),45.2,48.7,0,IA,(D),1,1,low
IA-02,,"Loebsack, David",(D),45,49.1,1,IA,(D),1,0,low
IA-03,,"Young, David",(R),45,48.5,0,IA,(D),1,1,low
IA-04,,"King, Steve",(R),33.5,60.9,0,IA,(R),0,0,low
ID-01,,"Labrador, Raul",(R),25.4,63.7,0,ID,(R),0,0,mid
ID-02,,"Simpson, Mike",(R),29.8,54.5,0,ID,(R),0,0,mid
IL-01,,"Rush, Bobby",(D),75.4,21.4,1,IL,(D),1,0,high
IL-02,,"Kelly, Robin",(D),78,19.1,1,IL,(D),1,0,high
IL-03,,"Lipinski, Dan",(D),55.2,39.9,1,IL,(D),1,0,high
IL-04,,"Gutierrez, Luis",(D),82.1,13.2,1,IL,(D),1,0,high
IL-05,,"Quigley, Mike",(D),70.5,23.9,1,IL,(D),1,0,high
IL-06,,"Roskam, Peter",(R),50.2,43.2,0,IL,(D),1,1,high
IL-07,,"Davis, Danny",(D),87.4,9.2,1,IL,(D),1,0,high
IL-08,,"Krishnamoorthi, Raja",(D),58.1,36.4,1,IL,(D),1,0,high
IL-09,,"Schakowsky, Jan",(D),70.1,24.9,1,IL,(D),1,0,high
IL-10,,"Schneider, Brad",(D),62,32.6,1,IL,(D),1,0,high
IL-11,,"Foster, Bill",(D),58.9,35.4,1,IL,(D),1,0,high
IL-12,,"Bost, Mike",(R),40.2,55,0,IL,(R),0,0,high
IL-13,,"Davis, Rodney",(R),44.2,49.7,0,IL,(R),0,0,high
IL-14,,"Hultgren, Randy",(R),44.8,48.7,0,IL,(D),1,1,high
IL-15,,"Shimkus, John",(R),24.5,70.7,0,IL,(R),0,0,high
IL-16,,"Kinzinger, Adam",(R),38.3,55.5,0,IL,(R),0,0,high
IL-17,,"Bustos, Cheri",(D),46.7,47.4,1,IL,(D),1,0,high
IL-18,,"LaHood, Darin",(R),33.3,60.6,0,IL,(R),0,0,high
IN-01,,"Visclosky, Pete",(D),54.1,41.5,1,IN,(D),1,0,low
IN-02,,"Walorski, Jackie",(R),36.1,59.3,0,IN,(R),0,0,low
IN-03,,"Banks, Jim",(R),30.1,65.1,0,IN,(R),0,0,low
IN-04,,"Rokita, Todd",(R),30.2,64.3,0,IN,(R),0,0,low
IN-05,,"Brooks, Susan",(R),41.3,53.1,0,IN,(R),0,0,low
IN-06,,"Messer, Luke",(R),27.4,67.7,0,IN,(R),0,0,low
IN-07,,"Carson, Andre",(D),59,36.2,1,IN,(D),1,0,low
IN-08,,"Bucshon, Larry",(R),30.9,64.6,0,IN,(R),0,0,low
IN-09,,"Hollingsworth, Trey",(R),34.2,61.1,0,IN,(R),0,0,low
KS-01,,"Marshall, Roger",(R),24.3,69.3,0,KS,(R),0,0,low
KS-02,,"Jenkins, Lynn",(R),37.4,55.8,0,KS,(R),0,0,low
KS-03,,"Yoder, Kevin",(R),47.2,46,0,KS,(D),1,1,low
KS-04,,"Pompeo, Mike",(R),33,60.2,0,KS,(R),0,0,low
KY-01,,"Comer, James",(R),23.9,72.4,0,KY,(R),0,0,high
KY-02,,"Guthrie, Brett",(R),27.6,67.5,0,KY,(R),0,0,high
KY-03,,"Yarmuth, John",(D),54.9,39.9,1,KY,(D),1,0,high
KY-04,,"Massie, Thomas",(R),29.3,65.2,0,KY,(R),0,0,high
KY-05,,"Rogers, Hal",(R),17.5,79.6,0,KY,(R),0,0,high
KY-06,,"Barr, Andy",(R),39.4,54.7,0,KY,(R),0,0,high
LA-01,,"Scalise, Steve",(R),26.7,68.7,0,LA,(R),0,0,high
LA-02,,"Richmond, Cedric",(D),74.6,22.2,1,LA,(D),1,0,high
LA-03,,"Higgins, Clay",(R),29.2,67.3,0,LA,(R),0,0,high
LA-04,,"Johnson, Mike",(R),36.6,60.6,0,LA,(R),0,0,high
LA-05,,"Abraham, Ralph",(R),34.1,63.5,0,LA,(R),0,0,high
LA-06,,"Graves, Garret",(R),31,64.8,0,LA,(R),0,0,high
MA-01,,"Neal, Richard",(D),57.2,36.5,1,MA,(D),1,0,high
MA-02,,"McGovern, Jim",(D),56.2,36.8,1,MA,(D),1,0,high
MA-03,,"Tsongas, Niki",(D),58.2,35.4,1,MA,(D),1,0,high
MA-04,,"Kennedy, Joe",(D),59.2,35,1,MA,(D),1,0,high
MA-05,,"Clark, Katherine",(D),69.3,25.7,1,MA,(D),1,0,high
MA-06,,"Moulton, Seth",(D),56.1,38.2,1,MA,(D),1,0,high
MA-07,,"Capuano, Mike",(D),84.1,11.9,1,MA,(D),1,0,high
MA-08,,"Lynch, Stephen",(D),60.4,34.4,1,MA,(D),1,0,high
MA-09,,"Keating, Bill",(D),52.5,41.8,1,MA,(D),1,0,high
MD-01,,"Harris, Andy",(R),33.5,61.9,0,MD,(R),0,0,high
MD-02,,"Ruppersberger, Dutch",(D),60.2,35.6,1,MD,(D),1,0,high
MD-03,,"Sarbanes, John",(D),62.9,32.1,1,MD,(D),1,0,high
MD-04,,"Brown, Anthony",(D),77.7,19.2,1,MD,(D),1,0,high
MD-05,,"Hoyer, Steny",(D),63.6,32.6,1,MD,(D),1,0,high
MD-06,,"Delaney, John",(D),55.8,39.7,1,MD,(D),1,0,high
MD-07,,"Cummings, Elijah",(D),75.5,20.5,1,MD,(D),1,0,high
MD-08,,"Raskin, Jamie",(D),64.6,30.9,1,MD,(D),1,0,high
ME-01,,"Pingree, Chellie",(D),54.1,39.3,1,ME,(D),1,0,high
ME-02,,"Poliquin, Bruce",(R),41.1,51.4,0,ME,(R),0,0,high
MI-01,,"Bergman, Jack",(R),36.6,57.9,0,MI,(R),0,0,mid
MI-02,,"Huizenga, Bill",(R),38.2,55.8,0,MI,(R),0,0,mid
MI-03,,"Amash, Justin",(R),42.2,51.6,0,MI,(R),0,0,mid
MI-04,,"Moolenaar, John",(R),34.7,59.5,0,MI,(R),0,0,mid
MI-05,,"Kildee, Dan",(D),49.7,45.5,1,MI,(D),1,0,mid
MI-06,,"Upton, Fred",(R),42.9,51.3,0,MI,(R),0,0,mid
MI-07,,"Walberg, Tim",(R),38.7,55.7,0,MI,(R),0,0,mid
MI-08,,"Bishop, Mike",(R),43.9,50.6,0,MI,(D),1,1,mid
MI-09,,"Levin, Sander",(D),51.5,43.7,1,MI,(D),1,0,mid
MI-10,,"Mitchell, Paul",(R),31.6,63.8,0,MI,(R),0,0,mid
MI-11,,"Trott, Dave",(R),45.3,49.7,0,MI,(D),1,1,mid
MI-12,,"Dingell, Debbie",(D),60.8,34.5,1,MI,(D),1,0,mid
MI-13,,"Conyers, John",(D),78.8,18.1,1,MI,(D),1,0,mid
MI-14,,"Lawrence, Brenda",(D),79.2,18.3,1,MI,(D),1,0,mid
MN-01,,"Walz, Tim",(D),38.4,53.3,1,MN,(R),0,-1,low
MN-02,,"Lewis, Jason",(R),45.3,46.5,0,MN,(D),1,1,low
MN-03,,"Paulsen, Erik",(R),50.8,41.4,0,MN,(D),1,1,low
MN-04,,"McCollum, Betty",(D),61.5,30.6,1,MN,(D),1,0,low
MN-05,,"Ellison, Keith",(D),73.7,18.5,1,MN,(D),1,0,low
MN-06,,"Emmer, Tom",(R),33.2,58.9,0,MN,(R),0,0,low
MN-07,,"Peterson, Collin",(D),31,61.8,1,MN,(D),1,0,low
MN-08,,"Nolan, Rick",(D),38.6,54.2,1,MN,(R),0,-1,low
MO-01,,"Clay, Lacy",(D),77,18.8,1,MO,(D),1,0,mid
MO-02,,"Wagner, Ann",(R),42.3,52.6,0,MO,(R),0,0,mid
MO-03,,"Luetkemeyer, Blaine",(R),28.1,67.1,0,MO,(R),0,0,mid
MO-04,,"Hartzler, Vicki",(R),29.3,65.3,0,MO,(R),0,0,mid
MO-05,,"Cleaver, Emanuel",(D),54.1,40.6,1,MO,(D),1,0,mid
MO-06,,"Graves, Sam",(R),31.7,63.1,0,MO,(R),0,0,mid
MO-07,,"Long, Billy",(R),24.7,70.4,0,MO,(R),0,0,mid
MO-08,,"Smith, Jason",(R),21,75.4,0,MO,(R),0,0,mid
MS-01,,"Kelly, Trent",(R),32.4,65.4,0,MS,(R),0,0,mid
MS-02,,"Thompson, Bennie",(D),63.6,35.1,1,MS,(D),1,0,mid
MS-03,,"Harper, Gregg",(R),36.8,61.3,0,MS,(R),0,0,mid
MS-04,,"Palazzo, Steven",(R),28.2,69.4,0,MS,(R),0,0,mid
MT-AL,,"Zinke, Ryan",(R),35.9,56.5,0,MT,(R),0,0,mid
NC-01,,"Butterfield, G.K.",(D),67.5,30.5,1,NC,(D),1,0,high
NC-02,,"Holding, George",(R),43.6,53.2,0,NC,(R),0,0,high
NC-03,,"Jones, Walter",(R),36.9,60.5,0,NC,(R),0,0,high
NC-04,,"Price, David",(D),68.2,28.2,1,NC,(D),1,0,high
NC-05,,"Foxx, Virginia",(R),39.8,57.4,0,NC,(R),0,0,high
NC-06,,"Walker, Mark",(R),41.4,56.1,0,NC,(R),0,0,high
NC-07,,"Rouzer, David",(R),39.9,57.6,0,NC,(R),0,0,high
NC-08,,"Hudson, Richard",(R),41.1,56.1,0,NC,(R),0,0,high
NC-09,,"Pittenger, Robert",(R),42.8,54.4,0,NC,(R),0,0,high
NC-10,,"McHenry, Patrick",(R),36.4,61,0,NC,(R),0,0,high
NC-11,,"Meadows, Mark",(R),34,63.2,0,NC,(R),0,0,high
NC-12,,"Adams, Alma",(D),68.4,28.4,1,NC,(D),1,0,high
NC-13,,"Budd, Ted",(R),44,53.4,0,NC,(R),0,0,high
ND-AL,,"Cramer, Kevin",(R),27.7,64.1,0,ND,(R),0,0,mid
NE-01,,"Fortenberry, Jeff",(R),36.2,57.5,0,NE,(R),0,0,low
NE-02,,"Bacon, Don",(R),46,48.2,0,NE,(R),0,0,low
NE-03,,"Smith, Adrian",(R),20,74.9,0,NE,(R),0,0,low
NH-01,,"Shea-Porter, Carol",(D),46.6,48.2,1,NH,(D),1,0,high
NH-02,,"Kuster, Annie",(D),48.6,46.2,1,NH,(D),1,0,high
NJ-01,,"Norcross, Donald",(D),60.6,36.1,1,NJ,(D),1,0,mid
NJ-02,,"LoBiondo, Frank",(R),46,50.6,0,NJ,(D),1,1,mid
NJ-03,,"MacArthur, Tom",(R),45.2,51.4,0,NJ,(R),0,0,mid
NJ-04,,"Smith, Chris",(R),41,55.8,0,NJ,(R),0,0,mid
NJ-05,,"Gottheimer, Josh",(D),47.7,48.8,1,NJ,(D),1,0,mid
NJ-06,,"Pallone, Frank",(D),56.2,40.6,1,NJ,(D),1,0,mid
NJ-07,,"Lance, Leonard",(R),48.6,47.5,0,NJ,(D),1,1,mid
NJ-08,,"Sires, Albio",(D),75.7,21.5,1,NJ,(D),1,0,mid
NJ-09,,"Pascrell, Bill",(D),64.3,33.1,1,NJ,(D),1,0,mid
NJ-10,,"Payne, Donald",(D),85.2,12.8,1,NJ,(D),1,0,mid
NJ-11,,"Frelinghuysen, Rodney",(R),47.9,48.8,0,NJ,(D),1,1,mid
NJ-12,,"Watson Coleman, Bonnie",(D),65,31.8,1,NJ,(D),1,0,mid
NM-01,,"Lujan Grisham, Michelle",(D),51.6,35.1,1,NM,(D),1,0,low
NM-02,,"Pearce, Steve",(R),39.9,50.1,0,NM,(D),1,1,low
NM-03,,"Lujan, Ben",(D),51.8,36.7,1,NM,(D),1,0,low
NV-01,,"Titus, Dina",(D),61.6,32.6,1,NV,(D),1,0,low
NV-02,,"Amodei, Mark",(R),39.7,52,0,NV,(R),0,0,low
NV-03,,"Rosen, Jacky",(D),46.5,47.5,1,NV,(D),1,0,low
NV-04,,"Kihuen, Ruben",(D),49.5,44.6,1,NV,(D),1,0,low
NY-01,,"Zeldin, Lee",(R),42.2,54.5,0,NY,(R),0,0,low
NY-02,,"King, Peter",(R),43.9,53,0,NY,(R),0,0,low
NY-03,,"Suozzi, Tom",(D),51.6,45.5,1,NY,(D),1,0,low
NY-04,,"Rice, Kathleen",(D),53.4,43.8,1,NY,(D),1,0,low
NY-05,,"Meeks, Gregory",(D),85.7,12.7,1,NY,(D),1,0,low
NY-06,,"Meng, Grace",(D),65.1,32.1,1,NY,(D),1,0,low
NY-07,,"Velazquez, Nydia",(D),86.9,10.4,1,NY,(D),1,0,low
NY-08,,"Jeffries, Hakeem",(D),84.6,13.5,1,NY,(D),1,0,low
NY-09,,"Clarke, Yvette",(D),83.5,14.4,1,NY,(D),1,0,low
NY-10,,"Nadler, Jerrold",(D),78.3,18.8,1,NY,(D),1,0,low
NY-11,,"Donovan, Dan",(R),43.8,53.6,0,NY,(D),1,1,low
NY-12,,"Maloney, Carolyn",(D),83.3,13.5,1,NY,(D),1,0,low
NY-13,,"Espaillat, Adriano",(D),92.3,5.4,1,NY,(D),1,0,low
NY-14,,"Crowley, Joe",(D),77.7,19.8,1,NY,(D),1,0,low
NY-15,,"Serrano, Jose",(D),93.8,4.9,1,NY,(D),1,0,low
NY-16,,"Engel, Eliot",(D),75.1,22.5,1,NY,(D),1,0,low
NY-17,,"Lowey, Nita",(D),58.6,38.4,1,NY,(D),1,0,low
NY-18,,"Maloney, Sean",(D),47.1,49,1,NY,(D),1,0,low
NY-19,,"Faso, John",(R),44,50.8,0,NY,(D),1,1,low
NY-20,,"Tonko, Paul",(D),54,40.5,1,NY,(D),1,0,low
NY-21,,"Stefanik, Elise",(R),40,53.9,0,NY,(R),0,0,low
NY-22,,"Tenney, Claudia",(R),39.3,54.8,0,NY,(R),0,0,low
NY-23,,"Reed, Tom",(R),39.7,54.5,0,NY,(R),0,0,low
NY-24,,"Katko, John",(R),48.9,45.3,0,NY,(R),0,0,low
NY-25,,"Slaughter, Louise",(D),55.5,39.1,1,NY,(D),1,0,low
NY-26,,"Higgins, Brian",(D),57.6,38,1,NY,(D),1,0,low
NY-27,,"Collins, Chris",(R),35.2,59.7,0,NY,(R),0,0,low
OH-01,,"Chabot, Steve",(R),44.6,51.2,0,OH,(R),0,0,high
OH-02,,"Wenstrup, Brad",(R),39.7,55.8,0,OH,(R),0,0,high
OH-03,,"Beatty, Joyce",(D),67,28.6,1,OH,(D),1,0,high
OH-04,,"Jordan, Jim",(R),30.7,64.3,0,OH,(R),0,0,high
OH-05,,"Latta, Bob",(R),34.6,59.7,0,OH,(R),0,0,high
OH-06,,"Johnson, Bill",(R),26.7,69.3,0,OH,(R),0,0,high
OH-07,,"Gibbs, Bob",(R),32.8,62.5,0,OH,(R),0,0,high
OH-08,,"Davidson, Warren",(R),30.6,65.1,0,OH,(R),0,0,high
OH-09,,"Kaptur, Marcy",(D),58.7,36.5,1,OH,(D),1,0,high
OH-10,,"Turner, Michael",(R),44,51.3,0,OH,(R),0,0,high
OH-11,,"Fudge, Marcia",(D),80.5,17,1,OH,(D),1,0,high
OH-12,,"Tiberi, Patrick",(R),41.9,53.2,0,OH,(R),0,0,high
OH-13,,"Ryan, Tim",(D),51.1,44.6,1,OH,(D),1,0,high
OH-14,,"Joyce, David",(R),42.1,53.6,0,OH,(R),0,0,high
OH-15,,"Stivers, Steve",(R),39.9,55.3,0,OH,(R),0,0,high
OH-16,,"Renacci, Jim",(R),39.5,56.1,0,OH,(R),0,0,high
OK-01,,"Bridenstine, Jim",(R),32.7,61.4,0,OK,(R),0,0,mid
OK-02,,"Mullin, Markwayne",(R),22.8,72.9,0,OK,(R),0,0,mid
OK-03,,"Lucas, Frank",(R),20.9,73.6,0,OK,(R),0,0,mid
OK-04,,"Cole, Tom",(R),28.3,65.7,0,OK,(R),0,0,mid
OK-05,,"Russell, Steve",(R),39.8,53.2,0,OK,(D),1,1,mid
OR-01,,"Bonamici, Suzanne",(D),57.3,34.5,1,OR,(D),1,0,mid
OR-02,,"Walden, Greg",(R),36.4,56.5,0,OR,(R),0,0,mid
OR-03,,"Blumenauer, Earl",(D),70.7,22.5,1,OR,(D),1,0,mid
OR-04,,"DeFazio, Peter",(D),46.1,46,1,OR,(D),1,0,mid
OR-05,,"Schrader, Kurt",(D),48.3,44.1,1,OR,(D),1,0,mid
PA-01,,"Brady, Bob",(D),79.5,18.2,1,PA,(R),0,-1,mid
PA-02,,"Evans, Dwight",(D),90.4,7.6,1,PA,(D),1,0,mid
PA-03,,"Kelly, Mike",(R),35,61.1,0,PA,(D),1,1,mid
PA-04,,"Perry, Scott",(R),37.1,58.6,0,PA,(D),1,1,mid
PA-05,,"Thompson, Glenn",(R),33.5,62.3,0,PA,(D),1,1,mid
PA-06,,"Costello, Ryan",(R),48.2,47.6,0,PA,(D),1,1,mid
PA-07,,"Meehan, Pat",(R),49.3,47,0,PA,(D),1,1,mid
PA-08,,"Fitzpatrick, Brian",(R),48,48.2,0,PA,(D),1,1,mid
PA-09,,"Schuster, Bill",(R),27.2,69.7,0,PA,(R),0,0,mid
