state,state_name,age,population,state_total_population
AL,Alabama,61,65214,4903185
AL,Alabama,62,65365,4903185
AL,Alabama,63,63117,4903185
AL,Alabama,64,62042,4903185
AL,Alabama,65,59584,4903185
AL,Alabama,66,56766,4903185
AL,Alabama,67,54694,4903185
AL,Alabama,68,52697,4903185
AL,Alabama,69,51707,4903185
AL,Alabama,70,50567,4903185
AL,Alabama,71,49884,4903185
AL,Alabama,72,51612,4903185
AL,Alabama,73,37091,4903185
AL,Alabama,74,36845,4903185
AL,Alabama,75,35441,4903185
AL,Alabama,76,36173,4903185
AL,Alabama,77,30575,4903185
AL,Alabama,78,27572,4903185
AL,Alabama,79,26053,4903185
AL,Alabama,80,23977,4903185
AL,Alabama,81,22580,4903185
AL,Alabama,82,19594,4903185
AL,Alabama,83,18222,4903185
AL,Alabama,84,16660,4903185
AL,Alabama,85+,91543,4903185
AK,Alaska,0,9978,731545
AK,Alaska,1,10012,731545
AK,Alaska,2,10186,731545
AK,Alaska,3,10509,731545
AK,Alaska,4,10395,731545
AK,Alaska,5,10414,731545
AK,Alaska,6,10303,731545
AK,Alaska,7,10286,731545
AK,Alaska,8,10436,731545
AK,Alaska,9,10157,731545
AK,Alaska,10,9976,731545
AK,Alaska,11,10016,731545
AK,Alaska,12,9887,731545
AK,Alaska,13,9509,731545
AK,Alaska,14,9678,731545
AK,Alaska,15,9488,731545
AK,Alaska,16,9410,731545
AK,Alaska,17,9343,731545
AK,Alaska,18,8604,731545
AK,Alaska,19,8265,731545
AK,Alaska,20,9373,731545
AK,Alaska,21,9951,731545
AK,Alaska,22,10376,731545
AK,Alaska,23,10468,731545
AK,Alaska,24,11115,731545
AK,Alaska,25,11494,731545
AK,Alaska,26,11727,731545
AK,Alaska,27,12390,731545
AK,Alaska,28,12426,731545
AK,Alaska,29,12390,731545
AK,Alaska,30,11687,731545
AK,Alaska,31,11521,731545
AK,Alaska,32,11112,731545
AK,Alaska,33,11427,731545
AK,Alaska,34,11414,731545
AK,Alaska,35,10837,731545
AK,Alaska,36,10990,731545
AK,Alaska,37,10421,731545
AK,Alaska,38,10116,731545
AK,Alaska,39,10057,731545
AK,Alaska,40,9166,731545
AK,Alaska,41,8857,731545
AK,Alaska,42,8747,731545
AK,Alaska,43,8146,731545
AK,Alaska,44,8428,731545
AK,Alaska,45,7969,731545
AK,Alaska,46,8077,731545
AK,Alaska,47,8345,731545
AK,Alaska,48,8774,731545
AK,Alaska,49,9138,731545
AK,Alaska,50,8472,731545
AK,Alaska,51,8234,731545
AK,Alaska,52,8365,731545
AK,Alaska,53,8616,731545
AK,Alaska,54,9140,731545
AK,Alaska,55,9436,731545
AK,Alaska,56,9503,731545
AK,Alaska,57,9645,731545
AK,Alaska,58,9740,731545
AK,Alaska,59,9898,731545
AK,Alaska,60,9374,731545
AK,Alaska,61,9168,731545
AK,Alaska,62,9161,731545
AK,Alaska,63,8614,731545
AK,Alaska,64,8800,731545
AK,Alaska,65,8210,731545
AK,Alaska,66,7734,731545
AK,Alaska,67,7220,731545
AK,Alaska,68,6655,731545
AK,Alaska,69,6442,731545
AK,Alaska,70,5978,731545
AK,Alaska,71,5621,731545
AK,Alaska,72,5482,731545
AK,Alaska,73,4013,731545
AK,Alaska,74,3945,731545
AK,Alaska,75,3665,731545
AK,Alaska,76,3459,731545
AK,Alaska,77,2950,731545
AK,Alaska,78,2677,731545
AK,Alaska,79,2327,731545
AK,Alaska,80,1971,731545
AK,Alaska,81,1784,731545
AK,Alaska,82,1586,731545
AK,Alaska,83,1411,731545
AK,Alaska,84,1277,731545
AK,Alaska,85+,7181,731545
AZ,Arizona,0,81929,7278717
AZ,Arizona,1,83065,7278717
AZ,Arizona,2,85726,7278717
AZ,Arizona,3,88192,7278717
AZ,Arizona,4,90876,7278717
AZ,Arizona,5,90858,7278717
AZ,Arizona,6,90405,7278717
AZ,Arizona,7,90319,7278717
AZ,Arizona,8,91313,7278717
AZ,Arizona,9,90797,7278717
AZ,Arizona,10,92572,7278717
AZ,Arizona,11,96605,7278717
AZ,Arizona,12,96951,7278717
AZ,Arizona,13,95849,7278717
AZ,Arizona,14,95076,7278717
AZ,Arizona,15,94742,7278717
AZ,Arizona,16,91832,7278717
AZ,Arizona,17,93129,7278717
AZ,Arizona,18,98200,7278717
AZ,Arizona,19,100162,7278717
AZ,Arizona,20,96889,7278717
AZ,Arizona,21,98003,7278717
AZ,Arizona,22,98767,7278717
AZ,Arizona,23,100686,7278717
AZ,Arizona,24,101137,7278717
AZ,Arizona,25,102802,7278717
AZ,Arizona,26,103067,7278717
AZ,Arizona,27,105931,7278717
AZ,Arizona,28,107460,7278717
AZ,Arizona,29,106619,7278717
AZ,Arizona,30,100169,7278717
AZ,Arizona,31,96726,7278717
AZ,Arizona,32,94163,7278717
AZ,Arizona,33,95058,7278717
AZ,Arizona,34,95098,7278717
AZ,Arizona,35,91880,7278717
AZ,Arizona,36,93730,7278717
AZ,Arizona,37,93611,7278717
AZ,Arizona,38,93052,7278717
AZ,Arizona,39,94708,7278717
AZ,Arizona,40,87807,7278717
AZ,Arizona,41,85655,7278717
AZ,Arizona,42,85735,7278717
AZ,Arizona,43,83246,7278717
AZ,Arizona,44,86603,7278717
AZ,Arizona,45,83835,7278717
AZ,Arizona,46,83060,7278717
AZ,Arizona,47,85465,7278717
AZ,Arizona,48,90253,7278717
AZ,Arizona,49,90730,7278717
AZ,Arizona,50,85488,7278717
AZ,Arizona,51,82818,7278717
AZ,Arizona,52,81468,7278717
AZ,Arizona,53,81932,7278717
AZ,Arizona,54,87041,7278717
AZ,Arizona,55,88239,7278717
AZ,Arizona,56,88626,7278717
AZ,Arizona,57,88876,7278717
AZ,Arizona,58,90077,7278717
AZ,Arizona,59,90913,7278717
AZ,Arizona,60,88044,7278717
AZ,Arizona,61,87973,7278717
AZ,Arizona,62,87664,7278717
AZ,Arizona,63,85107,7278717
AZ,Arizona,64,85275,7278717
AZ,Arizona,65,83374,7278717
AZ,Arizona,66,81125,7278717
AZ,Arizona,67,78896,7278717
AZ,Arizona,68,77728,7278717
AZ,Arizona,69,77376,7278717
AZ,Arizona,70,76474,7278717
AZ,Arizona,71,76787,7278717
AZ,Arizona,72,81299,7278717
AZ,Arizona,73,59741,7278717
AZ,Arizona,74,58899,7278717
AZ,Arizona,75,57521,7278717
AZ,Arizona,76,58174,7278717
AZ,Arizona,77,50088,7278717
AZ,Arizona,78,45100,7278717
AZ,Arizona,79,41784,7278717
AZ,Arizona,80,38116,7278717
AZ,Arizona,81,35128,7278717
AZ,Arizona,82,31252,7278717
AZ,Arizona,83,28331,7278717
AZ,Arizona,84,25703,7278717
AZ,Arizona,85+,145737,7278717
AR,Arkansas,0,36355,3017804
AR,Arkansas,1,37006,3017804
AR,Arkansas,2,37572,3017804
AR,Arkansas,3,38610,3017804
AR,Arkansas,4,38921,3017804
AR,Arkansas,5,38404,3017804
AR,Arkansas,6,37924,3017804
AR,Arkansas,7,38827,3017804
AR,Arkansas,8,38633,3017804
AR,Arkansas,9,38959,3017804
AR,Arkansas,10,38941,3017804
AR,Arkansas,11,40404,3017804
AR,Arkansas,12,41015,3017804
AR,Arkansas,13,40146,3017804
AR,Arkansas,14,39960,3017804
AR,Arkansas,15,39598,3017804
AR,Arkansas,16,39485,3017804
AR,Arkansas,17,39395,3017804
AR,Arkansas,18,38943,3017804
AR,Arkansas,19,39830,3017804
AR,Arkansas,20,40334,3017804
AR,Arkansas,21,40395,3017804
AR,Arkansas,22,40594,3017804
AR,Arkansas,23,39653,3017804
AR,Arkansas,24,39311,3017804
AR,Arkansas,25,39834,3017804
AR,Arkansas,26,39802,3017804
AR,Arkansas,27,41169,3017804
AR,Arkansas,28,42544,3017804
AR,Arkansas,29,42150,3017804
AR,Arkansas,30,39586,3017804
AR,Arkansas,31,38492,3017804
AR,Arkansas,32,37628,3017804
AR,Arkansas,33,37564,3017804
AR,Arkansas,34,38099,3017804
AR,Arkansas,35,37715,3017804
AR,Arkansas,36,38168,3017804
AR,Arkansas,37,38361,3017804
AR,Arkansas,38,38447,3017804
AR,Arkansas,39,39465,3017804
AR,Arkansas,40,36541,3017804
AR,Arkansas,41,36126,3017804
AR,Arkansas,42,35502,3017804
AR,Arkansas,43,34384,3017804
AR,Arkansas,44,35554,3017804
AR,Arkansas,45,34516,3017804
AR,Arkansas,46,35020,3017804
AR,Arkansas,47,36538,3017804
AR,Arkansas,48,38016,3017804
AR,Arkansas,49,38174,3017804
AR,Arkansas,50,35511,3017804
AR,Arkansas,51,34743,3017804
AR,Arkansas,52,34784,3017804
AR,Arkansas,53,35588,3017804
AR,Arkansas,54,38692,3017804
AR,Arkansas,55,39716,3017804
AR,Arkansas,56,39709,3017804
AR,Arkansas,57,39366,3017804
AR,Arkansas,58,39529,3017804
AR,Arkansas,59,39701,3017804
AR,Arkansas,60,38669,3017804
AR,Arkansas,61,38092,3017804
AR,Arkansas,62,37865,3017804
AR,Arkansas,63,36917,3017804
AR,Arkansas,64,36430,3017804
AR,Arkansas,65,35478,3017804
AR,Arkansas,66,34176,3017804
AR,Arkansas,67,32682,3017804
AR,Arkansas,68,31736,3017804
AR,Arkansas,69,30888,3017804
AR,Arkansas,70,30427,3017804
AR,Arkansas,71,30017,3017804
AR,Arkansas,72,31554,3017804
AR,Arkansas,73,22864,3017804
AR,Arkansas,74,23007,3017804
AR,Arkansas,75,22169,3017804
AR,Arkansas,76,22217,3017804
AR,Arkansas,77,19362,3017804
AR,Arkansas,78,17669,3017804
AR,Arkansas,79,16670,3017804
AR,Arkansas,80,14936,3017804
AR,Arkansas,81,13764,3017804
AR,Arkansas,82,12330,3017804
AR,Arkansas,83,11253,3017804
AR,Arkansas,84,10771,3017804
AR,Arkansas,85+,59912,3017804
CA,California,0,462589,39512223
CA,California,1,462713,39512223
CA,California,2,477322,39512223
CA,California,3,485894,39512223
CA,California,4,495198,39512223
CA,California,5,493458,39512223
CA,California,6,494221,39512223
CA,California,7,493396,39512223
CA,California,8,504330,39512223
CA,California,9,493445,39512223
CA,California,10,492283,39512223
CA,California,11,511109,39512223
CA,California,12,512662,39512223
CA,California,13,507455,39512223
CA,California,14,505628,39512223
CA,California,15,503712,39512223
CA,California,16,501846,39512223
CA,California,17,497380,39512223
CA,California,18,520095,39512223
CA,California,19,510661,39512223
CA,California,20,503722,39512223
CA,California,21,509401,39512223
CA,California,22,523994,39512223
CA,California,23,544149,39512223
CA,California,24,566013,39512223
CA,California,25,584705,39512223
CA,California,26,596486,39512223
CA,California,27,620414,39512223
CA,California,28,646817,39512223
CA,California,29,646556,39512223
CA,California,30,616635,39512223
CA,California,31,600661,39512223
CA,California,32,582552,39512223
CA,California,33,578717,39512223
CA,California,34,579409,39512223
CA,California,35,560827,39512223
CA,California,36,563113,39512223
CA,California,37,559009,39512223
CA,California,38,545556,39512223
CA,California,39,552069,39512223
CA,California,40,512768,39512223
CA,California,41,501141,39512223
CA,California,42,497615,39512223
CA,California,43,488053,39512223
CA,California,44,501949,39512223
CA,California,45,484090,39512223
CA,California,46,484585,39512223
CA,California,47,494127,39512223
CA,California,48,516747,39512223
CA,California,49,535870,39512223
CA,California,50,505199,39512223
CA,California,51,490725,39512223
CA,California,52,479823,39512223
CA,California,53,481890,39512223
CA,California,54,506689,39512223
CA,California,55,509117,39512223
CA,California,56,503162,39512223
CA,California,57,495532,39512223
CA,California,58,495917,39512223
CA,California,59,505049,39512223
CA,California,60,475931,39512223
CA,California,61,467635,39512223
CA,California,62,457974,39512223
CA,California,63,440328,39512223
CA,California,64,435990,39512223
CA,California,65,411959,39512223
CA,California,66,392969,39512223
CA,California,67,371355,39512223
CA,California,68,358803,39512223
CA,California,69,354786,39512223
CA,California,70,334996,39512223
CA,California,71,325934,39512223
CA,California,72,330822,39512223
CA,California,73,255411,39512223
CA,California,74,249635,39512223
CA,California,75,233568,39512223
CA,California,76,229072,39512223
CA,California,77,200181,39512223
CA,California,78,182011,39512223
CA,California,79,172849,39512223
CA,California,80,158877,39512223
CA,California,81,148337,39512223
CA,California,82,135255,39512223
CA,California,83,124947,39512223
CA,California,84,116502,39512223
CA,California,85+,749846,39512223
CO,Colorado,0,64561,5758736
CO,Colorado,1,64867,5758736
CO,Colorado,2,66298,5758736
CO,Colorado,3,67828,5758736
CO,Colorado,4,68647,5758736
CO,Colorado,5,68470,5758736
CO,Colorado,6,68016,5758736
CO,Colorado,7,68582,5758736
CO,Colorado,8,70351,5758736
CO,Colorado,9,71364,5758736
CO,Colorado,10,71018,5758736
CO,Colorado,11,72673,5758736
CO,Colorado,12,73645,5758736
CO,Colorado,13,73125,5758736
CO,Colorado,14,73078,5758736
CO,Colorado,15,73342,5758736
CO,Colorado,16,72647,5758736
CO,Colorado,17,71007,5758736
CO,Colorado,18,73449,5758736
CO,Colorado,19,75003,5758736
CO,Colorado,20,71850,5758736
CO,Colorado,21,71793,5758736
CO,Colorado,22,74781,5758736
CO,Colorado,23,77245,5758736
CO,Colorado,24,82096,5758736
CO,Colorado,25,86227,5758736
CO,Colorado,26,90358,5758736
CO,Colorado,27,93888,5758736
CO,Colorado,28,95463,5758736
CO,Colorado,29,95224,5758736
CO,Colorado,30,91830,5758736
CO,Colorado,31,90057,5758736
CO,Colorado,32,90123,5758736
CO,Colorado,33,90659,5758736
CO,Colorado,34,89525,5758736
CO,Colorado,35,86349,5758736
CO,Colorado,36,86331,5758736
CO,Colorado,37,85047,5758736
CO,Colorado,38,83808,5758736
CO,Colorado,39,83982,5758736
CO,Colorado,40,77814,5758736
CO,Colorado,41,75900,5758736
CO,Colorado,42,74139,5758736
CO,Colorado,43,71342,5758736
CO,Colorado,44,73359,5758736
CO,Colorado,45,70361,5758736
CO,Colorado,46,69985,5758736
CO,Colorado,47,72561,5758736
CO,Colorado,48,75941,5758736
CO,Colorado,49,76387,5758736
CO,Colorado,50,71704,5758736
CO,Colorado,51,67944,5758736
CO,Colorado,52,65518,5758736
CO,Colorado,53,65720,5758736
CO,Colorado,54,70029,5758736
CO,Colorado,55,71709,5758736
CO,Colorado,56,72142,5758736
CO,Colorado,57,72557,5758736
CO,Colorado,58,74063,5758736
CO,Colorado,59,74506,5758736
CO,Colorado,60,71890,5758736
CO,Colorado,61,71107,5758736
CO,Colorado,62,70373,5758736
CO,Colorado,63,67763,5758736
CO,Colorado,64,66903,5758736
CO,Colorado,65,64280,5758736
CO,Colorado,66,62246,5758736
CO,Colorado,67,59165,5758736
CO,Colorado,68,56363,5758736
CO,Colorado,69,54242,5758736
CO,Colorado,70,51627,5758736
CO,Colorado,71,50303,5758736
CO,Colorado,72,51833,5758736
CO,Colorado,73,36767,5758736
CO,Colorado,74,35305,5758736
CO,Colorado,75,33441,5758736
CO,Colorado,76,32734,5758736
CO,Colorado,77,27949,5758736
CO,Colorado,78,24824,5758736
CO,Colorado,79,22850,5758736
CO,Colorado,80,21094,5758736
CO,Colorado,81,19458,5758736
CO,Colorado,82,17348,5758736
CO,Colorado,83,15994,5758736
CO,Colorado,84,14668,5758736
CO,Colorado,85+,89921,5758736
CT,Connecticut,0,34625,3565287
CT,Connecticut,1,35542,3565287
CT,Connecticut,2,36346,3565287
CT,Connecticut,3,37139,3565287
CT,Connecticut,4,38058,3565287
CT,Connecticut,5,38066,3565287
CT,Connecticut,6,38190,3565287
CT,Connecticut,7,38800,3565287
CT,Connecticut,8,39802,3565287
CT,Connecticut,9,39880,3565287
CT,Connecticut,10,40641,3565287
CT,Connecticut,11,42251,3565287
CT,Connecticut,12,43045,3565287
CT,Connecticut,13,43714,3565287
CT,Connecticut,14,44611,3565287
CT,Connecticut,15,45230,3565287
CT,Connecticut,16,45467,3565287
CT,Connecticut,17,46033,3565287
CT,Connecticut,18,50348,3565287
CT,Connecticut,19,51794,3565287
CT,Connecticut,20,52289,3565287
CT,Connecticut,21,50276,3565287
CT,Connecticut,22,47651,3565287
CT,Connecticut,23,44742,3565287
CT,Connecticut,24,44973,3565287
CT,Connecticut,25,45726,3565287
CT,Connecticut,26,46169,3565287
CT,Connecticut,27,45040,3565287
CT,Connecticut,28,44190,3565287
CT,Connecticut,29,44332,3565287
CT,Connecticut,30,43474,3565287
CT,Connecticut,31,44347,3565287
CT,Connecticut,32,44340,3565287
CT,Connecticut,33,45398,3565287
CT,Connecticut,34,45013,3565287
CT,Connecticut,35,43998,3565287
CT,Connecticut,36,43968,3565287
CT,Connecticut,37,44184,3565287
CT,Connecticut,38,43319,3565287
CT,Connecticut,39,44386,3565287
CT,Connecticut,40,42324,3565287
CT,Connecticut,41,41453,3565287
CT,Connecticut,42,41527,3565287
CT,Connecticut,43,40394,3565287
CT,Connecticut,44,41588,3565287
CT,Connecticut,45,40438,3565287
CT,Connecticut,46,41836,3565287
CT,Connecticut,47,44545,3565287
CT,Connecticut,48,48397,3565287
CT,Connecticut,49,50278,3565287
CT,Connecticut,50,48645,3565287
CT,Connecticut,51,48488,3565287
CT,Connecticut,52,49085,3565287
CT,Connecticut,53,51328,3565287
CT,Connecticut,54,53865,3565287
CT,Connecticut,55,54258,3565287
CT,Connecticut,56,53418,3565287
CT,Connecticut,57,52705,3565287
CT,Connecticut,58,53740,3565287
CT,Connecticut,59,53846,3565287
CT,Connecticut,60,51677,3565287
CT,Connecticut,61,50956,3565287
CT,Connecticut,62,49575,3565287
CT,Connecticut,63,47262,3565287
CT,Connecticut,64,46018,3565287
CT,Connecticut,65,43363,3565287
CT,Connecticut,66,41174,3565287
CT,Connecticut,67,38552,3565287
CT,Connecticut,68,36422,3565287
CT,Connecticut,69,35572,3565287
CT,Connecticut,70,34126,3565287
CT,Connecticut,71,34199,3565287
CT,Connecticut,72,36403,3565287
CT,Connecticut,73,26937,3565287
CT,Connecticut,74,26071,3565287
CT,Connecticut,75,25567,3565287
CT,Connecticut,76,26702,3565287
CT,Connecticut,77,22328,3565287
CT,Connecticut,78,19564,3565287
CT,Connecticut,79,18123,3565287
CT,Connecticut,80,16878,3565287
CT,Connecticut,81,16045,3565287
CT,Connecticut,82,14456,3565287
CT,Connecticut,83,13623,3565287
CT,Connecticut,84,12809,3565287
CT,Connecticut,85+,91330,3565287
DE,Delaware,0,10618,973764
DE,Delaware,1,10671,973764
DE,Delaware,2,11061,973764
DE,Delaware,3,11239,973764
DE,Delaware,4,11130,973764
DE,Delaware,5,11106,973764
DE,Delaware,6,11061,973764
DE,Delaware,7,11372,973764
DE,Delaware,8,11448,973764
DE,Delaware,9,11325,973764
DE,Delaware,10,11313,973764
DE,Delaware,11,11613,973764
DE,Delaware,12,11558,973764
DE,Delaware,13,11646,973764
DE,Delaware,14,11533,973764
DE,Delaware,15,11654,973764
DE,Delaware,16,11648,973764
DE,Delaware,17,11576,973764
DE,Delaware,18,12590,973764
DE,Delaware,19,12750,973764
DE,Delaware,20,11785,973764
DE,Delaware,21,11267,973764
DE,Delaware,22,11107,973764
DE,Delaware,23,11172,973764
DE,Delaware,24,11823,973764
DE,Delaware,25,12347,973764
DE,Delaware,26,12463,973764
DE,Delaware,27,12946,973764
DE,Delaware,28,13685,973764
DE,Delaware,29,13870,973764
DE,Delaware,30,13712,973764
DE,Delaware,31,13093,973764
DE,Delaware,32,12335,973764
DE,Delaware,33,12259,973764
DE,Delaware,34,12370,973764
DE,Delaware,35,11921,973764
DE,Delaware,36,12116,973764
DE,Delaware,37,11786,973764
DE,Delaware,38,11660,973764
DE,Delaware,39,11891,973764
DE,Delaware,40,11374,973764
DE,Delaware,41,10997,973764
DE,Delaware,42,10635,973764
DE,Delaware,43,10145,973764
DE,Delaware,44,10576,973764
DE,Delaware,45,10236,973764
DE,Delaware,46,10570,973764
DE,Delaware,47,11144,973764
DE,Delaware,48,12172,973764
DE,Delaware,49,12563,973764
DE,Delaware,50,11768,973764
DE,Delaware,51,11876,973764
DE,Delaware,52,12262,973764
DE,Delaware,53,12764,973764
DE,Delaware,54,13526,973764
DE,Delaware,55,13673,973764
DE,Delaware,56,13894,973764
DE,Delaware,57,13720,973764
DE,Delaware,58,14014,973764
DE,Delaware,59,14014,973764
DE,Delaware,60,13646,973764
DE,Delaware,61,14077,973764
DE,Delaware,62,13775,973764
DE,Delaware,63,13519,973764
DE,Delaware,64,13398,973764
DE,Delaware,65,13016,973764
DE,Delaware,66,12761,973764
DE,Delaware,67,12297,973764
DE,Delaware,68,11787,973764
DE,Delaware,69,11561,973764
DE,Delaware,70,11371,973764
DE,Delaware,71,11371,973764
DE,Delaware,72,11983,973764
DE,Delaware,73,8497,973764
DE,Delaware,74,8214,973764
DE,Delaware,75,7977,973764
DE,Delaware,76,8141,973764
DE,Delaware,77,6985,973764
DE,Delaware,78,6077,973764
DE,Delaware,79,5472,973764
DE,Delaware,80,5007,973764
DE,Delaware,81,4746,973764
DE,Delaware,82,4088,973764
DE,Delaware,83,3795,973764
DE,Delaware,84,3506,973764
DE,Delaware,85+,20254,973764
DC,District of Columbia,0,9552,705749
DC,District of Columbia,1,9212,705749
DC,District of Columbia,2,9036,705749
DC,District of Columbia,3,8811,705749
DC,District of Columbia,4,8757,705749
DC,District of Columbia,5,7962,705749
DC,District of Columbia,6,8189,705749
DC,District of Columbia,7,7876,705749
DC,District of Columbia,8,7460,705749
DC,District of Columbia,9,6690,705749
DC,District of Columbia,10,6314,705749
DC,District of Columbia,11,6136,705749
DC,District of Columbia,12,5954,705749
DC,District of Columbia,13,5506,705749
DC,District of Columbia,14,5311,705749
DC,District of Columbia,15,5127,705749
DC,District of Columbia,16,5054,705749
DC,District of Columbia,17,5221,705749
DC,District of Columbia,18,8999,705749
DC,District of Columbia,19,12170,705749
DC,District of Columbia,20,10553,705749
DC,District of Columbia,21,8781,705749
DC,District of Columbia,22,8215,705749
DC,District of Columbia,23,10588,705749
DC,District of Columbia,24,13260,705749
DC,District of Columbia,25,15118,705749
DC,District of Columbia,26,15648,705749
DC,District of Columbia,27,16762,705749
DC,District of Columbia,28,17234,705749
DC,District of Columbia,29,17752,705749
DC,District of Columbia,30,17449,705749
DC,District of Columbia,31,17277,705749
DC,District of Columbia,32,16428,705749
DC,District of Columbia,33,15801,705749
DC,District of Columbia,34,15072,705749
DC,District of Columbia,35,14112,705749
DC,District of Columbia,36,13435,705749
DC,District of Columbia,37,12800,705749
DC,District of Columbia,38,11848,705749
DC,District of Columbia,39,11613,705749
DC,District of Columbia,40,10566,705749
DC,District of Columbia,41,9533,705749
DC,District of Columbia,42,8962,705749
DC,District of Columbia,43,8029,705749
DC,District of Columbia,44,8071,705749
DC,District of Columbia,45,7596,705749
DC,District of Columbia,46,7561,705749
DC,District of Columbia,47,7731,705749
DC,District of Columbia,48,7921,705749
DC,District of Columbia,49,7653,705749
DC,District of Columbia,50,7294,705749
DC,District of Columbia,51,7093,705749
DC,District of Columbia,52,6982,705749
DC,District of Columbia,53,6922,705749
DC,District of Columbia,54,7533,705749
DC,District of Columbia,55,7507,705749
DC,District of Columbia,56,7458,705749
DC,District of Columbia,57,7177,705749
DC,District of Columbia,58,7211,705749
DC,District of Columbia,59,7275,705749
DC,District of Columbia,60,6820,705749
DC,District of Columbia,61,6826,705749
DC,District of Columbia,62,6620,705749
DC,District of Columbia,63,6582,705749
DC,District of Columbia,64,6400,705749
DC,District of Columbia,65,6290,705749
DC,District of Columbia,66,5886,705749
DC,District of Columbia,67,5495,705749
DC,District of Columbia,68,5368,705749
DC,District of Columbia,69,5216,705749
DC,District of Columbia,70,5016,705749
DC,District of Columbia,71,4896,705749
DC,District of Columbia,72,4797,705749
DC,District of Columbia,73,3674,705749
DC,District of Columbia,74,3581,705749
DC,District of Columbia,75,3445,705749
DC,District of Columbia,76,3293,705749
DC,District of Columbia,77,3054,705749
DC,District of Columbia,78,2644,705749
DC,District of Columbia,79,2574,705749
DC,District of Columbia,80,2295,705749
DC,District of Columbia,81,2093,705749
DC,District of Columbia,82,1978,705749
DC,District of Columbia,83,1809,705749
DC,District of Columbia,84,1697,705749
DC,District of Columbia,85+,12242,705749
FL,Florida,0,221463,21477737
FL,Florida,1,224371,21477737
FL,Florida,2,228778,21477737
FL,Florida,3,232381,21477737
FL,Florida,4,232749,21477737
FL,Florida,5,233471,21477737
FL,Florida,6,231167,21477737
FL,Florida,7,233532,21477737
FL,Florida,8,235348,21477737
FL,Florida,9,232832,21477737
FL,Florida,10,232988,21477737
FL,Florida,11,242629,21477737
FL,Florida,12,244614,21477737
FL,Florida,13,243892,21477737
FL,Florida,14,241924,21477737
FL,Florida,15,240850,21477737
FL,Florida,16,234530,21477737
FL,Florida,17,242410,21477737
FL,Florida,18,242940,21477737
FL,Florida,19,241706,21477737
FL,Florida,20,242201,21477737
FL,Florida,21,247135,21477737
FL,Florida,22,250579,21477737
FL,Florida,23,255633,21477737
FL,Florida,24,262574,21477737
FL,Florida,25,269733,21477737
FL,Florida,26,274194,21477737
FL,Florida,27,283945,21477737
FL,Florida,28,294561,21477737
FL,Florida,29,297383,21477737
FL,Florida,30,286190,21477737
FL,Florida,31,277471,21477737
FL,Florida,32,271559,21477737
FL,Florida,33,271068,21477737
FL,Florida,34,273318,21477737
FL,Florida,35,265364,21477737
FL,Florida,36,268898,21477737
FL,Florida,37,267599,21477737
FL,Florida,38,264777,21477737
FL,Florida,39,270103,21477737
FL,Florida,40,255134,21477737
FL,Florida,41,253264,21477737
FL,Florida,42,253772,21477737
FL,Florida,43,247317,21477737
FL,Florida,44,254303,21477737
FL,Florida,45,249783,21477737
FL,Florida,46,256488,21477737
FL,Florida,47,269080,21477737
FL,Florida,48,281692,21477737
FL,Florida,49,283374,21477737
FL,Florida,50,267510,21477737
FL,Florida,51,264343,21477737
FL,Florida,52,268248,21477737
FL,Florida,53,275331,21477737
FL,Florida,54,293546,21477737
