"parcel_number","sale_date","sale_price","house_square_feet","attic_finished_square_feet","basement_square_feet","attached_garage_square_feet","detached_garage_square_feet","fireplaces","hvac_description","exterior","interior","stories","roof_cover","year_built","bedrooms","bathrooms","waterfront_type","view_quality","utility_sewer"
"6670500130","01/02/2020","265000.00","1374","0","0","0","0","1","Heat Pump","Frame Siding","Drywall","1","Composition Shingle","1972","2","3","","","SEWER/SEPTIC INSTALLED"
"7000110140","01/02/2020","358000.00","1518","0","0","400","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1991","3","2","","","SEWER/SEPTIC INSTALLED"
"6445002950","01/02/2020","230000.00","660","0","0","0","0","0","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1918","2","1","","","SEWER/SEPTIC INSTALLED"
"0420153078","01/02/2020","363000.00","960","0","0","0","0","0","Electric Baseboard","Frame Siding","Drywall","1","Built Up Rock","1963","2","1","","View Lim -","SEWER/SEPTIC INSTALLED"
"6025980670","01/02/2020","415000.00","2150","0","0","400","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2012","4","3","","","SEWER/SEPTIC INSTALLED"
"0420157038","01/02/2020","483000.00","2418","0","792","0","0","2","Warm and Cool Air Zone","Frame Vinyl","Drywall","2","Composition Shingle","1991","3","3","","View Lim","SEWER/SEPTIC INSTALLED"
"0320146005","01/02/2020","248000.00","650","0","0","0","0","0","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1957","2","1","","","SEWER/SEPTIC INSTALLED"
"5003010300","01/03/2020","385000.00","2397","0","0","618","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","2003","4","3","","","SEWER/SEPTIC INSTALLED"
"4485201260","01/02/2020","260000.00","789","0","0","0","0","0","Floor/Wall Furnace","Frame Siding","Drywall","1","Composition Shingle","1949","2","1","","","SEWER/SEPTIC INSTALLED"
"0121225087","01/02/2020","690000.00","3027","0","0","866","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2002","4","3","","","SEWER/SEPTIC INSTALLED"
"4630001600","01/03/2020","317000.00","1032","0","468","0","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1920","2","1","","","SEWER/SEPTIC INSTALLED"
"0222178006","01/02/2020","479000.00","1947","0","0","0","484","2","Forced Air","Frame Vinyl","Drywall","2","Composition Shingle","1993","3","2","","","SEWER/SEPTIC INSTALLED"
"0320322092","01/02/2020","353000.00","1734","0","0","483","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1963","3","2","","","SEWER/SEPTIC INSTALLED"
"7470034520","01/02/2020","280000.00","840","440","0","0","650","1","Forced Air","Frame Vinyl","Drywall","1","Composition Shingle","1910","1","1","","","SEWER/SEPTIC INSTALLED"
"5024402011","01/02/2020","349500.00","1646","0","0","0","572","1","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1979","3","2","","","SEWER/SEPTIC INSTALLED"
"3670000760","01/02/2020","255000.00","1020","0","0","570","0","1","Forced Air","Frame Vinyl","Drywall","1","Composition Shingle","1946","1","1","","","SEWER/SEPTIC INSTALLED"
"6167020350","01/02/2020","379950.00","1971","0","0","400","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1986","4","3","","","SEWER/SEPTIC INSTALLED"
"6026950150","01/02/2020","460000.00","2656","0","0","455","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2020","3","3","","","SEWER/SEPTIC INSTALLED"
"4530700360","01/03/2020","315000.00","1602","0","0","462","528","2","Forced Air","Frame Siding","Drywall","1","Concrete Tile","1965","3","2","","","SEWER/SEPTIC INSTALLED"
"6025340270","01/02/2020","442000.00","2535","0","0","399","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","2013","4","3","","","SEWER/SEPTIC INSTALLED"
"9130000090","01/02/2020","225000.00","960","0","960","220","0","1","Forced Air","Masonry Concrete Block","Drywall","1","Composition Shingle","1949","3","2","","","SEWER/SEPTIC INSTALLED"
"6025094370","01/01/2020","422000.00","2701","0","0","471","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2006","3","3","","","SEWER/SEPTIC INSTALLED"
"2575000100","01/01/2020","286400.00","1348","0","594","0","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1931","2","1","","","SEWER/SEPTIC INSTALLED"
"7235500110","01/02/2020","151272.00","1299","0","0","0","0","0","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1977","3","1","","","SEWER/SEPTIC INSTALLED"
"7000220060","01/03/2020","480000.00","2086","0","0","440","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","1993","4","3","","","SEWER/SEPTIC INSTALLED"
"0220152036","01/02/2020","199900.00","1160","0","0","264","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1951","2","1","","","SEWER/SEPTIC INSTALLED"
"2101000330","01/02/2020","370000.00","1440","0","0","480","0","1","Forced Air","Frame Vinyl","Drywall","1","Composition Shingle","1971","3","2","","","SEWER/SEPTIC INSTALLED"
"6440001970","01/02/2020","325000.00","1176","0","392","0","0","1","Electric Baseboard","Frame Siding","Drywall","2","Composition Shingle","1977","4","1","","","SEWER/SEPTIC INSTALLED"
"2990000271","01/02/2020","695000.00","1898","0","0","264","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1895","3","3","","View Lim","SEWER/SEPTIC INSTALLED"
"5005002780","01/02/2020","306500.00","1056","0","0","336","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1953","3","1","","","SEWER/SEPTIC INSTALLED"
"2035220070","01/02/2020","280000.00","939","0","0","0","0","1","Forced Air","Frame Siding","Drywall","1","Built Up Rock","1925","1","1","","","SEWER/SEPTIC INSTALLED"
"6023470150","01/01/2020","325000.00","1347","0","0","330","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","2001","3","3","","","SEWER/SEPTIC INSTALLED"
"0222218067","01/02/2020","460000.00","1708","0","0","440","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1991","3","2","","","SEWER/SEPTIC INSTALLED"
"5300400080","01/02/2020","535000.00","2323","0","0","192","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1964","3","2","","","SEWER/SEPTIC INSTALLED"
"9000860210","01/03/2020","320000.00","1766","0","0","460","0","1","Warm and Cool Air Zone","Frame Vinyl","Drywall","2","Composition Shingle","1995","3","2","","","SEWER/SEPTIC INSTALLED"
"5365200380","01/02/2020","306000.00","1396","0","0","0","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1972","3","1","","","SEWER/SEPTIC INSTALLED"
"4002860070","01/03/2020","195000.00","1538","0","0","389","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2009","3","2","","","SEWER/SEPTIC INSTALLED"
"3381500060","01/02/2020","320000.00","1562","0","0","413","0","1","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1990","3","2","","","SEWER/SEPTIC INSTALLED"
"7335000442","01/02/2020","149950.00","864","0","0","0","0","0","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1910","2","1","","","SEWER/SEPTIC INSTALLED"
"5005006810","01/02/2020","245000.00","1056","0","0","0","288","1","Floor/Wall Furnace","Frame Siding","Drywall","1","Composition Shingle","1948","2","1","","","SEWER/SEPTIC INSTALLED"
"0320226061","01/02/2020","319950.00","1588","0","0","400","0","0","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2007","3","3","","","SEWER/SEPTIC INSTALLED"
"4320001861","01/03/2020","385000.00","1725","0","1500","0","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1958","4","2","","","SEWER/SEPTIC INSTALLED"
"6532520710","01/02/2020","413000.00","2082","0","0","484","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1978","3","2","","","SEWER/SEPTIC INSTALLED"
"8996012400","01/02/2020","599000.00","1876","0","672","0","0","0","Heat Pump","Frame Siding","Drywall","1","Composition Shingle","1977","3","3","","View Lim -","SEWER/SEPTIC INSTALLED"
"3847040160","01/02/2020","323750.00","1588","0","0","440","0","2","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1974","3","2","","","SEWER/SEPTIC INSTALLED"
"9095000050","01/02/2020","295000.00","1192","0","0","0","0","1","Heat Pump","Frame Siding","Drywall","1","Composition Shingle","1956","2","2","","","SEWER/SEPTIC INSTALLED"
"9784330080","01/03/2020","213888.00","1762","0","0","540","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1986","3","2","","","SEWER/SEPTIC INSTALLED"
"3355000380","01/03/2020","620000.00","1205","0","1205","0","504","1","Heat Pump","Masonry Common Brick","Drywall","1","Composition Shingle","1950","3","3","","View Lim","SEWER/SEPTIC INSTALLED"
"5002401210","01/03/2020","545000.00","3072","0","0","720","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2001","4","3","","","SEWER/SEPTIC INSTALLED"
"0520293066","01/02/2020","433000.00","3104","0","1192","0","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1978","4","2","","","SEWER/SEPTIC INSTALLED"
"4320001183","01/02/2020","749999.00","4027","0","0","546","0","1","Heat Pump","Frame Siding","Drywall","2","Built Up Rock","1978","7","5","","","SEWER/SEPTIC INSTALLED"
"0320298033","01/03/2020","335000.00","1551","0","0","370","0","0","Electric Baseboard","Frame Siding","Drywall","2","Composition Shingle","2015","3","3","","","SEWER/SEPTIC INSTALLED"
"0519324026","01/01/2020","235950.00","912","0","0","0","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1963","3","1","","","SEWER/SEPTIC INSTALLED"
"7815001002","01/02/2020","383500.00","1852","0","0","440","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2003","4","3","","","SEWER/SEPTIC INSTALLED"
"7000150090","01/03/2020","369000.00","2004","0","0","476","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1992","4","3","","","SEWER/SEPTIC INSTALLED"
"7002300300","01/03/2020","435000.00","2511","0","0","807","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2014","4","3","","","SEWER/SEPTIC INSTALLED"
"7235220080","01/02/2020","345000.00","1782","0","0","576","0","1","Heat Pump","Frame Siding","Drywall","1","Composition Shingle","1979","3","2","","","SEWER/SEPTIC INSTALLED"
"5003460620","01/06/2020","384900.00","2642","0","0","484","0","1","Forced Air","Frame Vinyl","Drywall","2","Composition Shingle","2006","4","3","","","SEWER/SEPTIC INSTALLED"
"2305002200","01/02/2020","490000.00","1137","0","912","0","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1940","2","1","","View Good","SEWER/SEPTIC INSTALLED"
"0220255031","01/02/2020","214213.00","1411","0","0","400","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1995","3","2","","","SEWER/SEPTIC INSTALLED"
"8000113744","01/02/2020","285000.00","1387","0","0","345","0","1","Electric Baseboard","Frame Siding","Drywall","2","Composition Shingle","1977","3","2","","","SEWER/SEPTIC INSTALLED"
"7475020890","01/06/2020","359950.00","1368","0","0","392","0","0","Heat Pump","Frame Siding","Drywall","1","Composition Shingle","1961","3","2","","","SEWER/SEPTIC INSTALLED"
"5465000242","01/06/2020","459000.00","2194","0","0","396","0","1","Heat Pump","Frame Siding","Drywall","2","Composition Shingle","2020","4","3","","","SEWER/SEPTIC INSTALLED"
"7002370490","01/02/2020","485000.00","2537","0","0","427","0","1","Forced Air","Frame Vinyl","Drywall","2","Composition Shingle","2010","3","3","","","SEWER/SEPTIC INSTALLED"
"0121016013","01/02/2020","650000.00","2853","0","0","816","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1998","4","3","","","SEWER/SEPTIC INSTALLED"
"7002532040","01/02/2020","471849.00","1983","0","0","441","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","2019","3","2","","","SEWER/SEPTIC INSTALLED"
"0418033029","01/03/2020","520000.00","1248","472","0","2060","0","0","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2018","2","2","","","SEWER/SEPTIC INSTALLED"
"0418033029","01/03/2020","520000.00","5128","0","0","1048","0","0","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2021","3","5","","","SEWER/SEPTIC INSTALLED"
"5360000680","01/02/2020","327000.00","1711","0","1023","0","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1936","3","2","","","SEWER/SEPTIC INSTALLED"
"2430000230","01/03/2020","363000.00","1432","0","880","0","0","0","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1905","3","3","","","SEWER/SEPTIC INSTALLED"
"6430400970","01/07/2020","456500.00","2523","0","0","591","0","1","Heat Pump","Frame Siding","Drywall","1","Composition Shingle","1969","3","2","","","SEWER/SEPTIC INSTALLED"
"6023930370","01/03/2020","369950.00","1908","0","0","494","0","1","Forced Air","Frame Vinyl","Drywall","2","Composition Shingle","2003","4","3","","","SEWER/SEPTIC INSTALLED"
"6024653300","01/07/2020","380000.00","3209","0","0","409","0","1","Forced Air","Frame Vinyl","Drywall","2","Composition Shingle","2005","4","3","","","SEWER/SEPTIC INSTALLED"
"3000660780","01/03/2020","326000.00","1548","0","0","472","0","0","Forced Air","Frame Vinyl","Drywall","2","Composition Shingle","2001","3","3","","","SEWER/SEPTIC INSTALLED"
"6411000160","01/07/2020","435000.00","1907","0","0","400","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","1980","3","3","","","SEWER/SEPTIC INSTALLED"
"0420124014","01/08/2020","615350.00","1130","0","0","0","0","0","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1900","3","1","","","SEWER/SEPTIC INSTALLED"
"0319335018","01/06/2020","438500.00","1884","0","0","0","0","1","Forced Air","Masonry Common Brick","Drywall","1","Concrete Tile","1986","3","2","","","SEWER/SEPTIC INSTALLED"
"6026880230","01/07/2020","535000.00","2526","0","802","394","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2017","6","4","","","SEWER/SEPTIC INSTALLED"
"5140000243","01/06/2020","361000.00","1720","0","0","0","0","1","Forced Air","Frame Siding","Drywall","2","Built Up Rock","1956","3","2","","","SEWER/SEPTIC INSTALLED"
"5004960050","01/02/2020","467750.00","2797","0","0","722","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2019","4","3","","","SEWER/SEPTIC INSTALLED"
"6025276160","01/02/2020","385000.00","1935","0","0","407","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2006","3","3","","","SEWER/SEPTIC INSTALLED"
"0320327078","01/06/2020","314500.00","1438","0","0","432","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1991","3","2","","","SEWER/SEPTIC INSTALLED"
"6023000120","01/03/2020","410000.00","1711","0","0","504","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","1","Composition Shingle","1999","3","2","","","SEWER/SEPTIC INSTALLED"
"5003390130","01/02/2020","440000.00","2795","0","0","650","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2017","3","3","","","SEWER/SEPTIC INSTALLED"
"2345000070","01/03/2020","407000.00","1694","0","1184","0","0","1","Forced Air","Frame Vinyl","Drywall","2","Composition Shingle","1926","4","1","","","SEWER/SEPTIC INSTALLED"
"2827410140","01/08/2020","775000.00","2600","324","0","636","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1984","4","2","","","SEWER/SEPTIC INSTALLED"
"5400300500","01/07/2020","120000.00","1028","0","0","0","0","0","Electric Baseboard","Frame Siding","Drywall","1","Built Up Rock","1951","3","1","","","SEWER/SEPTIC INSTALLED"
"9184000210","01/07/2020","170000.00","1284","0","0","348","0","0","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1972","3","2","","","SEWER/SEPTIC INSTALLED"
"7002810420","01/03/2020","514990.00","2748","0","0","505","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2019","3","3","","","SEWER/SEPTIC INSTALLED"
"2080070090","01/03/2020","405000.00","1075","0","1075","250","0","0","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1985","5","3","","View Lim -","SEWER/SEPTIC INSTALLED"
"0020242022","01/06/2020","299950.00","1562","0","0","0","528","1","Electric Baseboard","Frame Siding","Drywall","2","Composition Shingle","1937","3","2","","","SEWER/SEPTIC INSTALLED"
"9265004749","01/02/2020","226000.00","676","0","0","0","0","0","Heat Pump","Frame Siding","Drywall","1","Composition Shingle","1930","2","1","","","SEWER/SEPTIC INSTALLED"
"6025520600","01/06/2020","348500.00","1728","0","864","0","0","1","Forced Air","Frame Vinyl","Drywall","2","Composition Shingle","2013","4","3","","","SEWER/SEPTIC INSTALLED"
"4475002120","01/03/2020","290000.00","1550","0","0","440","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1962","4","2","","","SEWER/SEPTIC INSTALLED"
"4715015410","01/06/2020","165000.00","1000","0","0","0","0","0","Electric Baseboard","Frame Vinyl","Drywall","1","Composition Shingle","1936","2","1","","","SEWER/SEPTIC INSTALLED"
"7475012520","01/01/2020","510000.00","1380","480","960","0","440","2","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1946","4","3","","","SEWER/SEPTIC INSTALLED"
"4163000190","01/02/2020","317500.00","1347","0","0","437","0","0","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1968","4","2","","","SEWER/SEPTIC INSTALLED"
"6021961240","01/06/2020","515000.00","3011","0","0","912","0","1","Forced Air","Frame Siding","Drywall","2","Concrete Tile","1998","4","3","","","SEWER/SEPTIC INSTALLED"
"6025742160","01/03/2020","415000.00","2692","0","0","600","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","2015","5","3","","","SEWER/SEPTIC INSTALLED"
"7002810260","01/03/2020","531580.00","2768","0","0","560","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2019","4","3","","","SEWER/SEPTIC INSTALLED"
"5005003660","01/03/2020","320000.00","1200","0","0","364","378","0","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1911","3","2","","","SEWER/SEPTIC INSTALLED"
"0416145023","01/08/2020","384000.00","2092","0","0","576","0","1","Warm and Cool Air Zone","Frame Vinyl","Drywall","1","Composition Shingle","2007","3","3","","","SEWER/SEPTIC INSTALLED"
"5003980630","01/08/2020","439900.00","2677","0","0","619","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","2010","4","3","","","SEWER/SEPTIC INSTALLED"
"7002860790","01/06/2020","484995.00","3122","0","0","465","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2019","4","3","","","SEWER/SEPTIC INSTALLED"
"4000210020","01/06/2020","839995.00","3525","0","0","953","0","2","Warm and Cool Air Zone","Frame Stucco","Drywall","2","Composition Shingle","1993","3","3","","View Lim -","SEWER/SEPTIC INSTALLED"
"6022070060","01/08/2020","345000.00","1244","0","0","440","0","0","Heat Pump","Frame Siding","Drywall","1","Composition Shingle","1997","3","2","","","SEWER/SEPTIC INSTALLED"
"6450000420","01/07/2020","310000.00","812","420","812","0","252","0","Forced Air","Frame Stucco","Drywall","1","Composition Shingle","1944","4","1","","","SEWER/SEPTIC INSTALLED"
"5670000280","01/03/2020","263000.00","948","564","0","0","0","0","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1914","3","1","","","SEWER/SEPTIC INSTALLED"
"3870200140","01/08/2020","394950.00","1996","0","0","650","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1970","4","3","","","SEWER/SEPTIC INSTALLED"
"8000011592","01/08/2020","269000.00","1728","0","0","0","0","1","Electric Baseboard","Frame Vinyl","Drywall","1","Composition Shingle","1976","3","1","","","SEWER/SEPTIC INSTALLED"
"7002770530","01/08/2020","524950.00","2596","0","0","621","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2019","4","3","","","SEWER/SEPTIC INSTALLED"
"4003390120","01/06/2020","616950.00","2429","0","0","451","0","2","Forced Air","Frame Siding","Drywall","1","Composition Shingle","2019","3","3","","","SEWER/SEPTIC INSTALLED"
"4885100211","01/03/2020","365000.00","2776","0","0","0","0","0","Electric Baseboard","Frame Siding","Drywall","2","Composition Shingle","2008","4","3","","","SEWER/SEPTIC INSTALLED"
"0321164033","01/07/2020","447000.00","1536","0","0","286","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","1","Composition Shingle","1952","2","2","","View Lim","SEWER/SEPTIC INSTALLED"
"0520217040","01/06/2020","561000.00","2692","0","0","472","0","1","Heat Pump","Frame Siding","Drywall","2","Composition Shingle","1989","4","3","","","SEWER/SEPTIC INSTALLED"
"7000930240","01/07/2020","675000.00","2643","0","0","908","512","1","Heat Pump","Frame Siding","Drywall","1","Composition Shingle","1998","3","3","","","SEWER/SEPTIC INSTALLED"
"2561000070","01/08/2020","432000.00","2112","0","0","480","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1985","3","2","","","SEWER/SEPTIC INSTALLED"
"7810000660","01/07/2020","437500.00","2103","0","0","399","0","1","Heat Pump","Frame Siding","Drywall","2","Composition Shingle","2019","3","3","","","SEWER/SEPTIC INSTALLED"
"6026140800","01/08/2020","529990.00","3302","0","0","636","0","2","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2019","4","3","","","SEWER/SEPTIC INSTALLED"
"5505250900","01/03/2020","425000.00","2178","0","0","483","0","1","Electric Baseboard","Masonry Common Brick","Drywall","1","Composition Shingle","1960","3","2","","","SEWER/SEPTIC INSTALLED"
"5505250900","01/03/2020","425000.00","864","0","0","0","0","0","Electric Baseboard","Finished Cottage","Drywall","1","Composition Shingle","1960","0","1","","","SEWER/SEPTIC INSTALLED"
"3514710060","01/08/2020","250000.00","1816","0","0","672","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1986","3","2","","","SEWER/SEPTIC INSTALLED"
"6024980770","01/02/2020","395000.00","2476","0","0","670","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2005","4","3","","","SEWER/SEPTIC INSTALLED"
"6024550010","01/08/2020","452800.00","2986","0","0","462","0","1","Forced Air","Frame Vinyl","Drywall","2","Composition Shingle","2005","4","3","","","SEWER/SEPTIC INSTALLED"
"6021900220","01/08/2020","423000.00","2158","0","0","714","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1998","3","3","","","SEWER/SEPTIC INSTALLED"
"5470000780","01/06/2020","290000.00","818","320","0","0","320","1","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1946","3","2","","","SEWER/SEPTIC INSTALLED"
"6022990160","01/04/2020","351000.00","2356","0","0","506","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","2000","4","3","","","SEWER/SEPTIC INSTALLED"
"5625002376","01/07/2020","394950.00","1685","0","1270","546","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1955","4","3","","","SEWER/SEPTIC INSTALLED"
"7002531290","01/07/2020","524085.00","2695","0","0","651","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2019","4","3","","","SEWER/SEPTIC INSTALLED"
"3703000110","01/03/2020","299000.00","1078","0","0","484","0","1","Electric Baseboard","Frame Siding","Drywall","1","Composition Shingle","1988","3","2","","","SEWER/SEPTIC INSTALLED"
"7001360110","01/02/2020","435000.00","2593","0","0","458","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","2001","3","3","","","SEWER/SEPTIC INSTALLED"
"6025541650","01/07/2020","460000.00","2618","0","0","798","0","1","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2013","4","3","","","SEWER/SEPTIC INSTALLED"
"7001230170","01/07/2020","350000.00","1308","0","0","440","0","1","Warm and Cool Air Zone","Frame Siding","Drywall","1","Composition Shingle","2000","3","2","","","SEWER/SEPTIC INSTALLED"
"7107500420","01/06/2020","330990.00","1070","0","0","260","0","0","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1980","3","2","","","SEWER/SEPTIC INSTALLED"
"6027321200","01/07/2020","364900.00","1676","0","0","380","0","0","Forced Air","Frame Siding","Drywall","2","Composition Shingle","2019","4","3","","","SEWER/SEPTIC INSTALLED"
"7685006270","01/09/2020","263500.00","1172","0","0","330","0","0","Electric Baseboard","Frame Vinyl","Drywall","1","Composition Shingle","1971","3","2","","","SEWER/SEPTIC INSTALLED"
"0321252039","01/08/2020","340000.00","1252","0","0","528","0","1","Forced Air","Frame Siding","Drywall","1","Composition Shingle","1979","3","2","","","SEWER/SEPTIC INSTALLED"
"6026870430","01/08/2020","412000.00","2375","0","0","560","0","1","Heat Pump","Frame Siding","Drywall","2","Composition Shingle","2017","4","3","","","SEWER/SEPTIC INSTALLED"
"0320215021","01/07/2020","430000.00","2070","0","0","484","0","0","Warm and Cool Air Zone","Frame Siding","Drywall","2","Composition Shingle","2020","4","3","","","SEWER/SEPTIC INSTALLED"
"5995000641","01/07/2020","429950.00","2638","0","696","0","0","0","Forced Air","Frame Siding","Drywall","2","Composition Shingle","1920","3","1","","","SEWER/SEPTIC INSTALLED"
